#S.N.	date	subject	Trials	currentblock	Trial_value	up_type	down_type	trialtimeout	correct	latency

68	11|5|2016	1122	TRIAL_PIC	1	6	Negative	Neutral	250	0	0.242574831465
69	11|5|2016	1122	DOWN_PROBE	1	6			500	0	7.03076855622	262.783267408
70	11|5|2016	1122	FIXATION	1	7			500	0	0.506194948088
71	11|5|2016	1122	TRIAL_PIC	1	7	Neutral	Neutral	250	0	0.242608893534
72	11|5|2016	1122	UP_PROBE	1	7			500	0	7.03169801585	270.626511233
73	11|5|2016	1122	FIXATION	1	8			500	0	0.497017757208
74	11|5|2016	1122	TRIAL_PIC	1	8	Neutral	Neutral	250	0	0.255169824776
75	11|5|2016	1122	DOWN_PROBE	1	8			500	0	7.0080640135	278.471268645
76	11|5|2016	1122	FIXATION	1	9			500	0	0.494705160186
77	11|5|2016	1122	TRIAL_PIC	1	9	Positive	Neutral	250	0	0.259815311117
78	11|5|2016	1122	UP_PROBE	1	9			500	0	7.01880081227	286.292369952
79	11|5|2016	1122	FIXATION	1	10			500	0	0.512610937258
80	11|5|2016	1122	TRIAL_PIC	1	10	Positive	Neutral	250	0	0.247254379875
81	11|5|2016	1122	UP_PROBE	1	10			500	0	7.00606304816	294.125080988
82	11|5|2016	1122	FIXATION	1	11			500	0	0.4968046881
83	11|5|2016	1122	TRIAL_PIC	1	11	Neutral	Positive	250	0	0.256614201418
84	11|5|2016	1122	DOWN_PROBE	1	11			500	0	7.02325823251	301.962329527
85	11|5|2016	1122	FIXATION	1	12			500	0	0.503364172792
86	11|5|2016	1122	TRIAL_PIC	1	12	Neutral	Negative	250	0	0.257778834266
87	11|5|2016	1122	UP_PROBE	1	12			500	0	7.01581349641	309.796234909
88	11|5|2016	1122	FIXATION	1	13			500	0	0.497243871364
89	11|5|2016	1122	TRIAL_PIC	1	13	Positive	Neutral	250	0	0.251810725058
90	11|5|2016	1122	DOWN_PROBE	1	13			500	0	7.00873764525	317.622017938
91	11|5|2016	1122	FIXATION	1	14			500	0	0.509548974732
92	11|5|2016	1122	TRIAL_PIC	1	14	Negative	Neutral	250	0	0.255720615668
93	11|5|2016	1122	UP_PROBE	1	14			500	0	7.02335788218	325.48058752
94	11|5|2016	1122	FIXATION	1	15			500	0	0.496918832265
95	11|5|2016	1122	TRIAL_PIC	1	15	Negative	Neutral	250	0	0.243456459255
96	11|5|2016	1122	DOWN_PROBE	1	15			500	0	7.03884887602	333.314298314
97	11|5|2016	1122	FIXATION	1	16			500	0	0.496699240633
98	11|5|2016	1122	TRIAL_PIC	1	16	Neutral	Positive	250	0	0.241109800164
99	11|5|2016	1122	UP_PROBE	1	16			500	0	7.04315990184	341.160058384
100	11|5|2016	1122	FIXATION	1	17			500	0	0.511500658775
101	11|5|2016	1122	TRIAL_PIC	1	17	Neutral	Neutral	250	0	0.240443415657
